pol_id,erp_number,old_price,new_price,status,error
POL-2193,7452226,344.66,455.77,failed,Failed to update the PO Line. Errors: Cannot update field: list price for po line in status CLOSED ; 
POL-2199,7266828,367.43,478.53,failed,"
The web server encountered an unexpected condition that prevented it from fulfilling the request. If the error persists, please use the unique tracking ID when reporting it."
